ID,Changed?,Article_Snippet,Human_Reference,Baseline_Summary,Baseline_FactCC,Rerank_Summary,Rerank_FactCC,Human_Audit_Baseline_True?,Human_Audit_Rerank_True?,Notes
583,YES,"England's first wild beavers for 800 years were last night released back onto a river in Devon, after passing vital health tests. The animals were captured for a series of tests last month, after Natural England gave unprecedented permission for them to be allowed to live free near Ottery St Mary, east Devon. Four adults and a juvenile were certified as free of disease, and will rejoin four young kits which had remained on the River Otter. Scroll down for video . Born free: England's first wild ...","Captured for a tests last month, after government agency gave permission for them to be allowed to live free near Ottery St Mary, Devon .
Four adults and a juvenile were certified as free of disease, and will rejoin four young kits which had remained on the River Otter .
Ministers had wanted animals to be rounded up and put in a zoo .
But Natural England in charge of wildlife, has decided they will instead be allowed to stay in the wild in the first project of its kind .","England's first wild beavers for 800 years were last night released back onto a river in Devon .
The animals were captured for a series of tests last month, after Natural England gave unprecedented permission for them to be allowed to live free near Ottery St Mary .
Four adults and a juvenile were certified as free of disease, and will rejoin four young kits which had remained on the River Otter .
Officials had originally said the wild family posed a risk to other wildlife, and should be caged or killed .",0.008265557698905468,"England's first wild beavers for 800 years were last night released back onto a river in Devon .
The animals were captured for a series of tests last month, after Natural England gave unprecedented permission for them to be allowed to live free near Ottery St Mary .
Four adults and a juvenile were certified as free of disease, and will rejoin four young kits which had remained on the River Otter .
Officials had originally said the wild family posed a risk to other wildlife, and should be caged or killed .
But Government agency Natural England has decided that as long as the beavers were disease-free, they",0.025463556870818138,,,
554,YES,"The discredited Liverpool Care Pathway is still being used in some hospitals despite having been scrapped, a Commons report will reveal. A cancer charity warns that despite an NHS ban, the controversial end-of-life programme is still in use under ‘a different name’. The report comes as police are investigating the death of a second ‘healthy’ pensioner at a hospital in Cheshire. The family of Margaret ‘Nellie’ Smart, 93, lodged a formal complaint against Warrington and Halton Hospitals NHS Founda...","A cancer charity claims the NHS is using a controversial 'Death Pathway'
Patients are being sedated and then refused food and water until death .
Studies show that patients on the death pathway last on average 29 hours .","The discredited Liverpool Care Pathway is still being used in some hospitals despite having been scrapped, a Commons report reveals .
A cancer charity warns that despite an NHS ban, the controversial end-of-life programme is still in use under 'a different name'
The report comes as police are investigating the death of a second 'healthy' pensioner at a hospital in Cheshire .",0.000182866511750035,"The discredited Liverpool Care Pathway is still being used in some hospitals despite having been scrapped .
A new report has warned that hospitals are still using the discredited treatment method .
It comes as police are investigating the death of a second 'healthy' pensioner at a hospital in Cheshire .",0.0006774485227651894,,,
1964,YES,"A bridegroom who started a mass brawl on his wedding night by telling three teenage boys he could 'knock them out with one punch' has been jailed for three years. John Derick Sandham, 31, was at his reception at a pub in Holywell, Flintshire, when he launched an attack on a group of young friends also having a drink at the venue. The court heard how Sandham, who had swapped vows with his wife Clare just hours earlier, head-butted one victim before hitting him in the face with a glass or a bottle...","John Sandham, 31, married his wife Clare in Holywell, Flintshire in 2013 .
Hours later, he attacked teenagers drinking at the couple's reception venue .
Court heard Sandham head-butted, punched and glassed his victims .
Sandham jailed at Mold Crown Court after being found guilty of three assaults .","John Derick Sandham, 31, was at his reception at a pub in Holywell, Flintshire .
He launched an attack on a group of young friends also having a drink at the venue .
Sandham, who had swapped vows with his wife Clare just hours earlier, head-butted one victim before hitting another in the face with a glass or a bottle .
But he was found guilty of the three assaults and sentenced to the three-year jail term .",0.007855423726141453,"John Derick Sandham, 31, was at his reception at a pub in Holywell, Flintshire .
He launched an attack on a group of young friends also having a drink at the venue .
Sandham, who had swapped vows with his wife Clare just hours earlier, head-butted one victim before hitting another in the face with a glass or a bottle .
But he was found guilty of the three assaults and sentenced to three-year jail term .",0.01251453161239624,,,
1828,YES,"Roy Hodgson would have left Loftus Road with a warm-tingly feeling yesterday. It had nothing to do with the mid-March sunshine, however. It was because of Tottenham striker Harry Kane. This clash was billed as a straight shoot-out between England strike hopefuls Kane and Queens Park Rangers frontman Charlie Austin. Harry Kane celebrates as he takes his tally to 26 in all competitions so far this term . Kane heads past Robert Green to give Tottenham the lead over QPR at Loftus Road . England mana...","Tottenham defeated QPR 2-1 in their Premier League clash at Loftus Road .
Harry Kane opened the scoring with a header for his 15th league goal .
The Spurs sensation netted a second to take his season's tally to 26 .
Rangers' Charlie Austin was denied a goal by Hugo Lloris and the crossbar .
Roy Hodgson was in the stands watching  England's possible future stars .","Harry Kane doubled Tottenham's lead in the second half after rounding the keeper to slot into an empty net .
Charlie Austin was denied from adding to his impressive goals tally by a save from Hugo Lloris .
Hodgson will be chomping at the bit to get his hands on Kane later this month .",0.999893069267273,"Harry Kane doubled Tottenham's lead in the second half after rounding the keeper to slot into an empty net .
Charlie Austin was denied from adding to his impressive goals tally by Hugo Lloris .",0.999940037727356,,,
284,YES,"A young woman, who had no luck when she posted an ad on Gumtree to find the father of her unborn son, is determined to keep searching after her baby almost died at birth. Bianca Fazey had a one-night stand with a man in Perth, Western Australia on April 23 last year and surprisingly discovered she was pregnant after being told in 2011 that she was unlikely to ever become a mum when she was diagnosed with polycystic ovary syndrome. The 25-year-old frantically searched for the father for five mont...","Bianca Fazey had a one-night stand with a man in Perth on April 23, 2014 .
The 25-year-old discovered she was pregnant and tried to find the father .
In a desperate last ditch attempt, Bianca posted an ad on Gumtree .
She only knew his name was Jeremy and lived in the suburb of Morley .
Described as '5,7ish', aged in his 20s, with brown hair and brown eyes .
She had no luck from the ad and received some disturbing responses .
Since having her boy two months ago who almost died, she's looking for him again now that Logan is a fighting fit and healthy baby .
Bianca has now been labelled as a bad mum who told her story for money .","Bianca Fazey had a one-night stand with a man in Perth, Western Australia on April 23 last year .
She surprisingly discovered she was pregnant after being told in 2011 that she was unlikely to ever become a mum when she was diagnosed with polycystic ovary syndrome .
The 25-year-old frantically searched for the father for five months but had no success as she only knew his name was Jeremy who was from the Perth suburb of Morley .
As a last-ditch attempt she decided to post the ad which only created unexpected vitriolic responses from total strangers .
When Bianca fell",0.9614424109458923,"Bianca Fazey had a one-night stand with a man in Perth, Western Australia on April 23 last year .
She surprisingly discovered she was pregnant after being told in 2011 that she was unlikely to ever become a mum when she was diagnosed with polycystic ovary syndrome .
The 25-year-old frantically searched for the father for five months but had no success as she only knew his name was Jeremy who was from the Perth suburb of Morley .
As a last-ditch attempt she decided to post the ad which only created unexpected vitriolic responses from total strangers .
Two months ago,",0.9845067858695984,,,
60,YES,"Mechanic Clive Howard carried out a string of rapes and attempted kidnaps on lone women in Norwich, Suffolk and Cambridge over a 28 year period . A mechanic who lived a calm, quiet life with his elderly parents was all the time living a secret double life as a sex attacker. Clive Howard, 56, of Suffolk, has admitted carrying out a string of rapes and kidnaps of women during a 28 year period. The serial rapist confessed to the crimes after he was caught after raping a woman at a car park in Norwi...","Clive Howard is a mechanic who lived calmly with his Suffolk parents .
But he lived a double life and committed string of rapes and kidnaps .
Howard was caught after he raped a woman in a car park in Norwich .
DNA was put into database and matched to other attacks on lone women .
On the day of his trial Howard, 56, admitted seven charges of rape .
He also admitted three of attempted kidnap and one of attempted rape .
Police fear there may be more victims and have appealed for witnesses .
Howard is likely to face lengthy prison term when he is sentenced in April .","Clive Howard, 56, of Battisford, Suffolk, carried out a string of rapes and attempted kidnaps .
He was caught after part of his Volvo number plate was captured on CCTV after he raped a woman .
Detectives found 'striking similarities' to the Norwich assault .
Howard, who is understood to have had an 82-year-old girlfriend, was remanded in custody and will be sentenced at the court on April 20 .",0.9952687621116638,"Clive Howard, 56, of Battisford, Suffolk, carried out a string of rapes and attempted kidnaps .
He was caught after part of his Volvo number plate was captured on CCTV after he raped a woman .
Detectives found 'striking similarities' to the Norwich assault .
Howard's DNA matched a profile obtained during an investigation into the attempted kidnap of a woman in her 20s on May 5, 2013 in Cambridge park Christ's Pieces .",0.9998767375946045,,,
1418,YES,"Disabled pensioner Alan Barnes has called for his attacker to be sent to jail when he is sentenced this week. Richard Gatiss knocked visually impaired, 4ft 6in Mr Barnes to the ground outside his home in Gateshead, Tyne and Wear in a cowardly attack which shocked Britain earlier this year. Drug addict Gatiss will find out his punishment when he comes before a judge at Newcastle Crown Court on Thursday after he pleaded guilty to assault with intent to rob. Scroll down for video . Alan Barnes, who...","Partially-sighted 67-year-old was beaten in attack which shocked Britain .
His attacker, Richard Gatiss, is due to be sentenced later this week .
Mr Barnes calls for drug addict to be jailed to prevent further crimes .
He says he'll use half of the £330,000 raised for him to buy a house .","Richard Gatiss knocked visually impaired Alan Barnes to the ground outside his home in Gateshead, Tyne and Wear .
He will find out his punishment when he comes before a judge at Newcastle Crown Court on Thursday .
Gatiss pleaded guilty to assault with intent to rob and will be sentenced later this week .
Mr Barnes said: 'He needs to go to prison, because otherwise he might just do it to someone else than what happened to me'",0.9995040893554688,"Richard Gatiss knocked visually impaired Alan Barnes to the ground outside his home in Gateshead, Tyne and Wear .
He will find out his punishment when he comes before a judge at Newcastle Crown Court on Thursday .",0.9999765157699585,,,
1998,YES,"Ahead of this weekend's FA Cup action, Sportsmail will be providing you with all you need to know about every fixture, with team news, provisional squads, betting odds and Opta stats. Here is all the information you need for Aston Villa's home quarter-final clash with West Brom... Aston Villa vs West Bromwich Albion (Villa Park) Team news . Aston Villa . Captain Ron Vlaar could return for Aston Villa's FA Cup quarter-final with West Brom as he battles a calf injury. Alan Hutton is suspended afte...","Aston Villa captain Ron Vlaar could return to face West Bromwich Albion .
Alan Hutton suspended after picking up tenth booking of the season .
West Brom are without Victor Anichebe and cup tied Darren Fletcher .
FA Cup quarter-final clash to kick off at Villa Park on Saturday at 5.30pm .","Aston Villa face West Brom in the FA Cup quarter-final on Saturday .
Ron Vlaar set to return after missing Aston Villa's last two matches with a calf injury .
Darren Fletcher will be without injured Victor Anichebe (groin) and cup-tied midfielder Darren Fletcher (suspension)",0.02369638904929161,"Aston Villa face West Brom in the FA Cup quarter-final on Saturday .
Ron Vlaar set to return after missing Aston Villa's last two matches with a calf injury .
Darren Fletcher will be without injured Victor Anichebe and Aston Villa midfielder Darren Fletcher .",0.9966063499450684,,,
733,NO,"A disgusted father was horrified to find maggots wriggling around in a steak and kidney pie when he opened it to cook for his children. Stuart Pay, 39, had opened the oven to cook the Fray Bentos pie when he noticed chunks of its pastry were missing. After taking a closer look, the electrician from Evesham, Worcester, saw three tiny maggots swimming around in the £2.49 pie. Stuart Pay was horrified to discover three maggots swimming in the Fray and Bentos steak and kidney pie he was about to coo...","Stuart Pay was about to heat up the steak and kidney pie for his children .
The 39-year-old noticed chunks of its pastry missing and saw maggots .
He had bought the pie for £2.49 from local Iceland branch days earlier .
The tinned, long-life Fray Bentos pie had a sell-by date of January 2017 .","Stuart Pay, 39, opened the oven to cook the Fray Bentos pie when he noticed chunks of its pastry were missing .
After taking a closer look, the electrician saw three tiny maggots swimming around in the £2.49 pie .
Mr Pay said he was 'disgusted' by the discovery but was glad to have made it before feeding children Cody, four, Kurtis, 12, and Jade, 14 .",0.9999561309814453,"Stuart Pay, 39, opened the oven to cook the Fray Bentos pie when he noticed chunks of its pastry were missing .
After taking a closer look, the electrician saw three tiny maggots swimming around in the £2.49 pie .
Mr Pay said he was 'disgusted' by the discovery but was glad to have made it before feeding children Cody, four, Kurtis, 12, and Jade, 14 .",0.9999561309814453,,,
1957,NO,"This United Airlines regional jet was forced to make an emergency landing without a nose gear at an airport in Chicago, Illinois, Saturday afternoon after experiencing a mechanical problem, officials said. The GoJet plane, operated by the major US airline, was traveling from Grand Rapids, Michigan, to Chicago when the pilot informed passengers there was an issue with the aircraft's front landing gear. A few minutes later, the pilot announced that the plane would be performing an emergency landin...","GoJet flight, operated by United Airlines, took off from Grand Rapids, MI .
Shortly after, pilot realized there was problem with the front landing gear .
Aircraft made emergency landing with no nose gear at a Chicago airport .
Firefighters and officials met plane on tarmac; no injuries were reported .
Second United Airlines plane to have suffered malfunction on Saturday .
Earlier in day, another plane  forced to land after a tire blew on takeoff .","GoJet plane was flying from Grand Rapids, Michigan, to Chicago when the pilot informed passengers there was an issue with the aircraft's front landing gear .
A few minutes later, the pilot announced that the plane would be performing an emergency landing at O'Hare International Airport .
Incredibly, flight 3645 touched down safely with no nose gear at 3.24pm .
It was the second United Airlines plane to suffer a serious malfunction Saturday after another plane had to turn back to Denver International Airport when one of its tire blew on takeoff earlier in the day .
Some social media users expressed concern over the successive incidents .",0.030077926814556122,"GoJet plane was flying from Grand Rapids, Michigan, to Chicago when the pilot informed passengers there was an issue with the aircraft's front landing gear .
A few minutes later, the pilot announced that the plane would be performing an emergency landing at O'Hare International Airport .
Incredibly, flight 3645 touched down safely with no nose gear at 3.24pm .
It was the second United Airlines plane to suffer a serious malfunction Saturday after another plane had to turn back to Denver International Airport when one of its tire blew on takeoff earlier in the day .
Some social media users expressed concern over the successive incidents .",0.030077926814556122,,,
1117,NO,"Oklahoma University alumni are rallying around an African American chef who has been forced out of his job at the school's disgraced fraternity after footage emerged of members performing a racist chant. Howard has worked at Sigma Alpha Epsilon for more than 15 years, cooking raved-about chili dogs and cheering students with his 'infectious smile', former members say. But on Monday, his role was terminated after the university closed SAE with immediate effect. It was a reaction to a video of fra...","Howard made raved-about chili dogs and befriended all the students .
He worked at Oklahoma University's Sigma Alpha Epsilon for 15 years .
After SAE members' racist chant, house is shut and Howard has no job .
Fraternity's alumni have started fundraiser to financially support Howard as he looks for new employment. They slam the chant as 'disgusting'
All members of the house have until midnight to leave .","Howard has worked as a chef at Oklahoma University's Sigma Alpha Epsilon for more than 15 years .
But on Monday, his role was terminated after the university closed SAE with immediate effect .
It was a reaction to a video of fraternity brothers chanting 'There will never be a n***** in SAE' to the tune of If You're Happy And You Know It .",0.0084177041426301,"Howard has worked as a chef at Oklahoma University's Sigma Alpha Epsilon for more than 15 years .
But on Monday, his role was terminated after the university closed SAE with immediate effect .
It was a reaction to a video of fraternity brothers chanting 'There will never be a n***** in SAE' to the tune of If You're Happy And You Know It .",0.0084177041426301,,,
516,NO,"Since the Arab Spring in 2011, Yemenis have endured intermittent fighting, attempted coups and increasing violence but now, with Houthi militiamen advancing on the beleaguered forces of President Abd Rabbuh Mansur Hadi in the second city of Aden, things look increasingly bleak. With the capital Sana'a also in the hands of the Iran-backed rebels, women and children are now on the front line of a conflict that, last night alone, saw an estimated 40 people perish after Saudi war planes apparently b...","Photos show women from Houthi-controlled Sa'naa and the village of Shaharah which sits on the Saudi border .
Saudi Arabia and its Arab allies are currently conducting air strikes against Houthi militiamen across Yemen .
Government troops are currently holed up in the port of Aden and are being besieged by the Iran-backed militia .
Among the cities to fall yesterday was Taiz where women still enjoy an unusual amount of freedom .","Women and children are now on the front line of a conflict that, last night alone, saw an estimated 40 people perish after Saudi war planes apparently bombed a refugee camp .
A haunting new set of photos has shed light on what Yemen stands to lose, including a Bedouin minority that has lived in Yemen - and neigbouring countries such as Jordan and Saudi Arabia - for thousands of years .
The pictures, taken by French photographer Eric Lafforgue, show the country's women and children going about their daily lives .",0.00014667751383967698,"Women and children are now on the front line of a conflict that, last night alone, saw an estimated 40 people perish after Saudi war planes apparently bombed a refugee camp .
A haunting new set of photos has shed light on what Yemen stands to lose, including a Bedouin minority that has lived in Yemen - and neigbouring countries such as Jordan and Saudi Arabia - for thousands of years .
The pictures, taken by French photographer Eric Lafforgue, show the country's women and children going about their daily lives .",0.00014667751383967698,,,
1269,NO,"(CNN)The irrepressible Mario Balotelli has a message for his critics: ""shut up!"" Liverpool's Italian international has started only one game since November, scoring just four goals in 24 appearances for the Anfield club after his $23 million move from AC Milan. He missed their 1-0 away win over Swansea City on Monday due to illness. Perhaps a bit fed up, he posted a video on his Instagram page giving the world a piece of his mind. ""Do you know me?"" asks the 24-year-old Balotelli, looking directl...","Mario Balotelli asks ""Do you know me? Did you ever talk to me personally?""
Balotelli has scored four goals in 24 appearances at Liverpool .","Mario Balotelli has started only one game for Liverpool since November .
The Italian international missed their 1-0 away win over Swansea City on Monday due to illness .
Balotelli posted a video on his Instagram page giving the world a piece of his mind .",0.9988284707069397,"Mario Balotelli has started only one game for Liverpool since November .
The Italian international missed their 1-0 away win over Swansea City on Monday due to illness .
Balotelli posted a video on his Instagram page giving the world a piece of his mind .",0.9988284707069397,,,
1206,NO,"A report detailing allegations of instances of rape and sexual assault inside Australia's Nauru detention centre has been labelled as 'very concerning' by Finance Minister Mathias Cormann. The 86-page review, released on Friday, included allegations of indecent and physical assault, as well as sexual harassment, at the offshore processing centre. 'The department has accepted all of the recommendations and all of the recommendations will be implemented,' Mr Cormann told Sky News on Saturday. Howe...","A new report has found evidence of abuse at Nauru detention centre .
Two allegations of rape were lodged involving Nauru guards .
Sexual abuse and sexual favours were also documented in the report .
Labor has criticised the government, calling them a 'disgrace'
Finance Minister Mathias Cormann called the report 'very concerning'","The 86-page review, released on Friday, included allegations of indecent and physical assault, as well as sexual harassment, at the offshore processing centre .
Finance Minister Mathias Cormann says the content of a review into allegations of abuse against asylum seekers on Nauru is 'very concerning'
The report also allegedly found evidence that guards traded marijuana for sexual favours from female detainees .",0.009875738061964512,"The 86-page review, released on Friday, included allegations of indecent and physical assault, as well as sexual harassment, at the offshore processing centre .
Finance Minister Mathias Cormann says the content of a review into allegations of abuse against asylum seekers on Nauru is 'very concerning'
The report also allegedly found evidence that guards traded marijuana for sexual favours from female detainees .",0.009875738061964512,,,
257,NO,"An Egyptian couple horrified guests at their wedding by hiring fake jihadis to  hijack the ceremony and force them in to a cage in a shocking imitation of the burning to death of a Jordanian pilot. The marriage ceremony was held in Menoufia, north of Cairo and saw masked men storm the venue and order the bride and groom to climb in to a cage at knife point. The only members of the wedding party who knew about the pretend 'attack' in advance were the groom, his best men and wedding photographer A...","Groom convinced best men to pretend to be ISIS terrorists at his wedding .
He had told wife-to-be to expect something 'different' at their ceremony .
Masked, knife-wielding men forced the couple in to a cage in a shocking imitation of the murder of Jordanian pilot Mu'ath Al Kassasbeh .
Couple then started dancing in the cage to the claps and cheers of guests .
Some of the wedding party mistakenly thought it was a genuine attack .","The wedding ceremony was held in Menoufia, north of Cairo .
Masked men storm the venue and order the bride and groom to climb in to a cage at knife point .
Only members of the wedding party who knew about the pretend 'attack' in advance were the groom, his best men and wedding photographer .
The bride is said to have been told to expect something 'different' from the ceremony .",0.00041143427370116115,"The wedding ceremony was held in Menoufia, north of Cairo .
Masked men storm the venue and order the bride and groom to climb in to a cage at knife point .
Only members of the wedding party who knew about the pretend 'attack' in advance were the groom, his best men and wedding photographer .
The bride is said to have been told to expect something 'different' from the ceremony .",0.00041143427370116115,,,
1611,NO,"Jimmy Greaves did not attend Wembley on Sunday. A lot of people tend to get upset when this happens. The one who doesn’t is Jimmy Greaves. If he wanted to go, as a guest of either Chelsea or Tottenham Hotspur, his former clubs, he could have secured a ticket, no problem. The Football League would probably love to have him, too. The issue isn’t that Greaves is short of invitations. He’s just not that into it. Jimmy Greaves was a great player, and doesn't need a fuss around him when he decides not...","Spurs and Chelsea legend Jimmy Greaves chose not to go to Wembley .
Greaves said he would rather watch the rugby than his former clubs .
The ex-England striker should not have his decision challenged .
As a former great Greaves has the right to a quiet retirement .","Jimmy Greaves did not attend Wembley on Sunday .
Greaves was a great player, and doesn't need a fuss around him when he decides not to attend games .
He doesn't claim to be an expert about the modern game, and didn't want to attend the League Cup fianl .",0.9743539690971375,"Jimmy Greaves did not attend Wembley on Sunday .
Greaves was a great player, and doesn't need a fuss around him when he decides not to attend games .
He doesn't claim to be an expert about the modern game, and didn't want to attend the League Cup fianl .",0.9743539690971375,,,
1245,NO,"A holiday turned to horror yesterday when a coach full of elderly tourists overturned in strong winds and careered down an embankment at a beauty spot. More than 20 people were injured - five seriously - as the bus left the main A83 road at the Rest and Be Thankful in Argyll, did a 360 degree roll, and narrowly avoided plunging into Loch Restil. The coach was taking a party of 32 pensioners from Kent back to their hotel after a day trip when it suddenly veered off the road shortly after 2pm. Fiv...","Coach was taking 32 pensioners from Kent back to hotel after day trip .
Left A83, rolled down embankment, and stopped just feet from loch .
In total 20 people were injured, with five of those suffering serious injuries .","More than 20 people were injured - five seriously - as the bus veered off the main A83 road at the Rest and Be Thankful in Argyll, Scotland .
The coach was just feet from plunging into Loch Restil when it came to a stop .
It is not thought any other vehicles were involved in the crash, which happened in an area notorious for its freak high winds .",0.8291864395141602,"More than 20 people were injured - five seriously - as the bus veered off the main A83 road at the Rest and Be Thankful in Argyll, Scotland .
The coach was just feet from plunging into Loch Restil when it came to a stop .
It is not thought any other vehicles were involved in the crash, which happened in an area notorious for its freak high winds .",0.8291864395141602,,,
146,NO,"Courtney Lawes insists England fans will see a changed man at Twickenham on Saturday as he believes controlling his recklessness will preserve his career. The 26-year-old Northampton lock returns to Stuart Lancaster’s starting line-up against Scotland after recovering from ankle surgery in January and will be charged with running the line-out. Renowned as one of the world’s most physical players, Lawes has suffered several injuries since making his England debut aged 20 and the son of a nightclu...","England take on Scotland in the Six Nations on Saturday at Twickenham .
Courtney Lawes returns to the England starting XV alongside Mike Brown .
26-year-old lock Lawes has recovered from ankle surgery in January .","Courtney Lawes returns to England's starting line-up against Scotland .
The 26-year-old will be charged with running the line-out .
Lawes has suffered several injuries since making his England debut aged 20 .",0.9999905824661255,"Courtney Lawes returns to England's starting line-up against Scotland .
The 26-year-old will be charged with running the line-out .
Lawes has suffered several injuries since making his England debut aged 20 .",0.9999905824661255,,,
766,NO,"John Swift and Kwame Thomas were on target as England's under 20s beat the United States at Plymouth to record their second win of the week. Having overcome a talented Mexico side on penalties on Wednesday night, Aidy Boothroyd's Young Lions defied horrendous conditions and stubborn opposition to earn another morale-boosting victory ahead of the summer's Toulon Tournament. The result, in front of a large crowd of over 11,000 at Home Park, extended Boothroyd's unbeaten start as England under 20s ...","Chelsea midfielder John Swift scored one minute before half-time .
Derby forward Kwame Thomas added a second after the break .
United States pulled one back through Maki Tall .
Result preserves Aidy Boothroyd's unbeaten start as boss .","England beat the United States 2-1 at Plymouth on Wednesday night .
John Swift and Kwame Thomas scored for the Under 20s .
The win extended Aidy Boothroyd's unbeaten start as England under 20s manager .",0.999984860420227,"England beat the United States 2-1 at Plymouth on Wednesday night .
John Swift and Kwame Thomas scored for the Under 20s .
The win extended Aidy Boothroyd's unbeaten start as England under 20s manager .",0.999984860420227,,,
1433,NO,"Glee star Harry Shum Jr.has been showing off some riveting new dance moves – which he performed while on a moving treadmill – in a post on his Facebook page. The talented 32-year-old made working out seem effortless as he danced along to Michael Jackson's Love Never Felt So Good. Harry, who is best known for his role as Mike Chang on the television show Glee, performs a variety of complex dance moves during the routine, including a number of moon walk-style steps which are reminiscent of the mov...","The dancer and actor shared the amazing treadmill dance video on Facebook .
He busted some moves to moves the late singer's Love Never Felt So Good during a late-night workout .","Harry Shum Jr. performed to Michael Jackson's Love Never Felt So Good .
The 32-year-old is best known for his role as Mike Chang on the television show Glee .
He performed a variety of complex dance moves during the routine, including a number of moon walk-style steps which are reminiscent of moves once favored by the late singer .",0.9945653676986694,"Harry Shum Jr. performed to Michael Jackson's Love Never Felt So Good .
The 32-year-old is best known for his role as Mike Chang on the television show Glee .
He performed a variety of complex dance moves during the routine, including a number of moon walk-style steps which are reminiscent of moves once favored by the late singer .",0.9945653676986694,,,
1940,NO,"(CNN)Rubén García Villalpando was supposed to arrive home from work on a Friday evening in February. But he never again pulled into the driveway of the home in suburban Dallas where he lived with his wife and four children. The 31-year-old welder died that night after a police officer shot him twice in the chest. Villalpando was unarmed, but in early reports about the shooting, police said an altercation erupted after he disobeyed an officer's commands during a traffic stop. It wasn't until hour...","A police officer shot and killed Ruben Garcia Villalpando in a Dallas suburb .
The case has drawn sharp criticism from Mexico's government, which calls for a federal investigation .
Widow: ""I do not know now whether to believe in the authorities here or not""","Rubén García Villalpando was shot twice in the chest during a traffic stop .
His wife says she got a call from police, telling her what had happened .
Questions swirl through Marta Romero's mind: Will authorities take the case seriously or toss it aside because of her husband's immigration status and the fact that the man who opened fire was a police officer, not a civilian?",0.9979318380355835,"Rubén García Villalpando was shot twice in the chest during a traffic stop .
His wife says she got a call from police, telling her what had happened .
Questions swirl through Marta Romero's mind: Will authorities take the case seriously or toss it aside because of her husband's immigration status and the fact that the man who opened fire was a police officer, not a civilian?",0.9979318380355835,,,
393,NO,Sergeant 1st Class Gregory McQueen could face up to 40 years in prison after he admitted recruiting three female officers into a prostitution ring . An army officer whose role was to advocate for victims of sexual abuse has admitted recruiting cash-strapped female soldiers to work in a prostitution ring. Sergeant 1st Class Gregory McQueen recruited the female soldiers to serve as prostitutes for high ranking officers at Fort Hood in Texas - one of the biggest bases in the country. One female off...,"Gregory McQueen admitted recruiting female soldiers to work in a sex ring .
Sergeant told court martial he got three females to join prostitution group .
He breached his Fort Hood role as advocate for victims of sexual abuse .
McQueen admitted 15 charges including conspiracy to solicit prostitution .
The maximum penalty for McQueen's crimes is 40 years in prison .","Sergeant 1st Class Gregory McQueen could face up to 40 years in prison after he admitted recruiting three female officers into a prostitution ring .
He admitted getting the three officers involved in the sex ring, and betraying the trust of commanders who had appointed him as an advocate for victims of sexual abuse .
McQueen admitted 15 counts including charges of pandering and conspiracy to solicit prostitution .
As part of his plea arrangement, other charges were dismissed, but McQueen still faces one count of assault that may be considered by the court later on Thursday .",0.9921145439147949,"Sergeant 1st Class Gregory McQueen could face up to 40 years in prison after he admitted recruiting three female officers into a prostitution ring .
He admitted getting the three officers involved in the sex ring, and betraying the trust of commanders who had appointed him as an advocate for victims of sexual abuse .
McQueen admitted 15 counts including charges of pandering and conspiracy to solicit prostitution .
As part of his plea arrangement, other charges were dismissed, but McQueen still faces one count of assault that may be considered by the court later on Thursday .",0.9921145439147949,,,
890,NO,"A teenager from Tennessee has miraculously regained the ability to walk again - just six weeks after being diagnosed with a rare spinal disease that could have paralaysed her for life. 15-year-old Jessica Shainburg woke up one morning in January to discover she could not feel anything below her waist, according to an ABC report. Doctors diagnosed her with a disorder which causes the spine to inflame known as transverse myelitis - and said it could be permanent if she was not walking within six w...","Jessica Shainburg was diagnosed with a rare spinal disease six weeks ago .
Doctors said she needed to recover quickly or she would never walk again .
The 15-year-old from Nashville, Tennessee started running again recently .
Could be due to another disease in her brain which hastens recovery rates .
Doctors say she could have multiple sclerosis if the rare symptoms return .","Jessica Shainburg woke up one morning in January to discover she could not feel anything below her waist .
Doctors diagnosed her with a disorder which causes the spine to inflame known as transverse myelitis .
The chances of that happening were less than one in three but incredibly, Jessica recovered in time thanks to another rare disorder in her brain that catalysed her recovery .
Jessica told WKRN-TV: 'I'm so blessed and lucky to be able to be walking again'",0.9925830364227295,"Jessica Shainburg woke up one morning in January to discover she could not feel anything below her waist .
Doctors diagnosed her with a disorder which causes the spine to inflame known as transverse myelitis .
The chances of that happening were less than one in three but incredibly, Jessica recovered in time thanks to another rare disorder in her brain that catalysed her recovery .
Jessica told WKRN-TV: 'I'm so blessed and lucky to be able to be walking again'",0.9925830364227295,,,
553,NO,"Hillary Clinton has been accused of ignoring official advice issued by her office while Secretary of State against using private email addresses by using her own server housed in her New York home. The leading Democratic presidential hopeful has faced criticism for using her @clintonemail.com email address for official government business, especially during the aftermath of the terrorist attack on the US consulate based in the Libyan city of Benghazi. According to leaked diplomatic cables, the S...","Hillary Clinton warned State Department staff against personal email use .
A cable advised that 'online adversaries' were targeting personal accounts .
Clinton continued to use her @clintonemail.com account despite advice .
The former Secretary of State has now released 55,000 pages of emails .","The State Department warned employees against using their own private email addresses for official business .
The cable was signed Hillary Clinton, but it is not apparent whether she was aware of its content as many official memos would bear her name if she was in Washington at the time .
Clinton has handed over 55,000 pages of emails to the State Department following the revelations .",0.004144610371440649,"The State Department warned employees against using their own private email addresses for official business .
The cable was signed Hillary Clinton, but it is not apparent whether she was aware of its content as many official memos would bear her name if she was in Washington at the time .
Clinton has handed over 55,000 pages of emails to the State Department following the revelations .",0.004144610371440649,,,
